Place,County
Barnsley,South Yorkshire
Basildon and Brentwood,Essex
Bassetlaw,Nottinghamshire
"Bath and North East Somerset, Swindon and Wiltshire",Somerset/Wiltshire
"Bedfordshire, Luton and Milton Keynes",Bedfordshire/Buckinghamshire
Berkshire West,Berkshire
Birmingham and Solihull,West Midlands
Black Country and West Birmingham,West Midlands
Blackburn with Darwen,Lancashire
Blackpool,Lancashire
Bolton,Greater Manchester
Bradford District and Craven,West Yorkshire/North Yorkshire
Brighton and Hove,East Sussex
"Bristol, North Somerset and South Gloucestershire",Somerset/Gloucestershire
Buckinghamshire,Buckinghamshire
Bury,Greater Manchester
Calderdale,West Yorkshire
Cambridgeshire and Peterborough,Cambridgeshire
Cannock Chase,Staffordshire
Castle Point and Rochford,Essex
Cheshire,Cheshire
Chorley and South Ribble,Lancashire
Cornwall and Isles of Scilly,Cornwall
County Durham,County Durham
Coventry and Warwickshire,Warwickshire/West Midlands
Derby and Derbyshire,Derbyshire
Devon,Devon
Doncaster,South Yorkshire
Dorset,Dorset
East and North Hertfordshire,Hertfordshire
East Lancashire,Lancashire
East Leicestershire and Rutland,Leicestershire/Rutland
East Riding of Yorkshire,East Yorkshire
East Staffordshire,Staffordshire
East Sussex,East Sussex
Frimley,Surrey
Fylde and Wyre,Lancashire
Gloucestershire,Gloucestershire
Greater Preston,Lancashire
Halton,Cheshire
"Hampshire, Southampton and Isle of Wight",Hampshire
Herefordshire and Worcestershire,Herefordshire/Worcestershire
Herts Valleys,Hertfordshire
"Heywood, Middleton and Rochdale",Greater Manchester
Hull,East Yorkshire
Ipswich and East Suffolk,Suffolk
Kent and Medway,Kent
Kirklees,West Yorkshire
Knowsley,Merseyside
Leeds,West Yorkshire
Leicester City,Leicestershire
Lincolnshire,Lincolnshire
Liverpool,Merseyside
Manchester,Greater Manchester
Mid Essex,Essex
Morecambe Bay,Lancashire
Newcastle Gateshead,Tyne and Wear
Norfolk and Waveney,Norfolk
North Central London,London
North Cumbria,Cumbria
North East Essex,Essex
North East Lincolnshire,Lincolnshire
North East London,London
North Lincolnshire,Lincolnshire
North Staffordshire,Staffordshire
North Tyneside,Tyne and Wear
North West London,London
North Yorkshire,North Yorkshire
Northamptonshire,Northamptonshire
Northumberland,Northumberland
Nottingham and Nottinghamshire,Nottinghamshire
Oldham,Greater Manchester
Oxfordshire,Oxfordshire
Portsmouth,Hampshire
Rotherham,South Yorkshire
Salford,Greater Manchester
Sheffield,South Yorkshire
"Shropshire, Telford and Wrekin",Shropshire
Somerset,Somerset
South East London,London
South East Staffordshire and Seisdon Peninsula,Staffordshire
South Sefton,Merseyside
South Tyneside,Tyne and Wear
South West London,London
Southend,Essex
Southport and Formby,Merseyside
St Helens,Merseyside
Stafford and Surrounds,Staffordshire
Stockport,Greater Manchester
Stoke on Trent,Staffordshire
Sunderland,Tyne and Wear
Surrey Heartlands,Surrey
Tameside,Greater Manchester
Tees Valley,Teesside
Thurrock,Essex
Trafford,Greater Manchester
Vale of York,York
Wakefield,West Yorkshire
Warrington,Cheshire
West Essex,Essex
West Lancashire,Lancashire
West Leicestershire,Leicestershire
West Suffolk,Suffolk
West Sussex,West Sussex
Wigan,Greater Manchester
Wirral,Merseyside
